id,category,text_,subjective_claim_count,objective_claim_count,experiential_detail_claim_count,positive_affect_claim_count,negative_affect_claim_count,uncertain_claim_count,category_specific_claim_count,text_sentiment
0.0,Electronics_5,This worked it syncs with my phone but short of it ringing when my phone rings that all it was good for. It did not sync with my calendar and when someone calls their name dose not come up on their phone number. So I gave to my 6 year old to play with.,1.0,3.0,0.0,0.0,1.0,0.0,3.0,-1.0
1.0,Electronics_5,"I've used your product before on other tablets. I don't think I would used anything else. Great packaging, like triple layer protection. Fast shipping and easy to apply.",1.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0
2.0,Electronics_5,"I grabbed this for Zoom calls after my headset died, and it's been a lifesaver. My coworkers immediately noticed how much clearer I sounded. Setup was literally just plug and play, no drivers needed. For anyone doing remote work or online classes on a budget, I'd definitely recommend snagging this little thing.",2.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0
3.0,Electronics_5,"love it. charges fast. really fast. really really fast:) When plugged in, and in use (screen on), it still charges, unlike previous adapters i used that died on me on long drives even though they were plugged in and charging.",1.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0
4.0,Electronics_5,"I was looking for something to protect my Kindle DX in transit. I decided I would rather just take the Kindle out to read than get the kind of case designed to hold the Kindle while you read. I use the Kindle mostly at home, so for most of the time I don't need a case, and when I do go somewhere with it, I can simply take it out of this case to use. This case is ideal for my purposes. It is extremely light--3.5 ounces, according to the Amazon Product Details--and very well padded. It's easy to fit the Kindle in and take it out. The case seems well-made and sturdy. I would like it even better if it had a handle or strap, but that is not enough of a drawback to take away a star. In sum, a fine product that does exactly what I want.",3.0,3.0,1.0,2.0,0.0,0.0,3.0,2.0
5.0,Electronics_5,"Got these hoping for a noticeable bump in clarity over my factory door speakers, and honestly the mids are decent and they stay clean even when I push them. But they just don't have much presence, I expected them to keep up better with the rest of my setup. I'm running them off a decent head unit, not a separate amp yet, and at moderate volume they're fine for talk radio or background music. Once the volume goes past halfway, they get thin and kinda disappear. Not terrible for the price, but if you're looking for something that fills the cabin without extra power, these might leave you wanting. They're okay, just underwhelming.",6.0,3.0,3.0,1.0,4.0,0.0,3.0,0.0
6.0,Electronics_5,"I've had this camera for about three years now and while it started off great, things went downhill fast. After the first year, the mode dial got super loose and sometimes it switches settings on its own mid-shot. The rubber grip peeled off in chunks, leaving sticky residue that's impossible to clean. Battery door doesn't click shut anymore so I have to tape it closed. Outdoor shots still look decent but the lens has developed a weird haze that softens everything. For something this pricey, I expected way better build quality. Feels like it wasn't made to last beyond a couple vacations. Pretty disappointed honestly.",2.0,6.0,5.0,0.0,1.0,0.0,6.0,-1.0
7.0,Electronics_5,"Had a little problem seeing the drive with Windows 10. Emailed vendor and got instruction responses promptly. It's a little noisy; but, works. Great value for $20.",2.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0
8.0,Electronics_5,I bought this to reduce the number of remotes for my TVs. It works very well with all of my TVs which have cable hookup. You need to check and see if it is compatible with sattelite TV as a friend of mine could not get it to work with a sattelite box hookup. I found it easy to program and it works fine for my purposes.,2.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0
9.0,Electronics_5,"Honestly thought they'd sound thin for the price but the detail is wild. Snug fit and zero outside noise, perfect for zoning out after a long shift.",2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
10.0,Electronics_5,"The design is convenient for plugging in dc adapters (bricks). The cord to the wall outlet is long and rotates at the surge protector. I'll hopefully never find out how well it functions as a surge protector, but at least the specs are good.",1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0
